"Time","FTX"
"2021-01-01",2
"2021-02-01",3
"2021-03-01",3
"2021-04-01",4
"2021-05-01",5
"2021-06-01",4
"2021-07-01",4
"2021-08-01",5
"2021-09-01",8
"2021-10-01",9
"2021-11-01",10
"2021-12-01",7
"2022-01-01",10
"2022-02-01",10
"2022-03-01",8
"2022-04-01",9
"2022-05-01",10
"2022-06-01",8
"2022-07-01",7
"2022-08-01",7
"2022-09-01",6
"2022-10-01",6
"2022-11-01",100
"2022-12-01",32
"2023-01-01",12
"2023-02-01",6
"2023-03-01",6
"2023-04-01",5
"2023-05-01",4
"2023-06-01",4
"2023-07-01",4
"2023-08-01",4
"2023-09-01",5
"2023-10-01",8
"2023-11-01",9
"2023-12-01",4
"2024-01-01",4
